name,lat,lng
Al Khunayzir,32.420576,35.522174
Al Khureiba,32.756171,35.025688
Al Kunayyisa,31.888789,34.957633
Al Lajjun,32.5746,35.1778
Al Latrun,31.831472,34.982711
Al Lubban,32.033925,35.038241
Al Ma'sara,31.657188,35.181235
Al Maghar,31.838366,34.781967
Al Maghazi ,31.414277,34.37782
"Al Majdal, Gaza",31.669063,34.586681
"Al Majdal, Tiberias",32.824375,35.515864
Al Maliha,31.754759,35.183109
Al Malikiyya,33.105666,35.508263
Al Manara,32.75517,35.543215
Al Maniya,31.620691,35.217571
"Al Manshiyya, Acre",32.931918,35.090777
"Al Manshiyya, Safad",33.225,35.605
Al Mansi,32.594468,35.172532
"Al Mansura, Ramle",31.838008,34.856372
"Al Mansura, Safad",33.216659,35.640711
"Al Mansura, Acre",33.064446,35.336109
"Al Mansura, Tiberias",32.891795,35.416757
Al Maqhaz (Al Nuwairi),31.5121,34.7985
Al Mas'udiyya,32.085431,34.782261
Al Masmiyya Al Kabira,31.757892,34.785119
Al Masmiyya Al Saghira (Huraniya),31.752468,34.798557
Al Masqufa,32.334259,35.055953
"Al Mazar, Haifa",32.682109,34.966578
"Al Mazar, Jenin",32.526695,35.359965
Al Mazar'a Al Qibliyya,31.952467,35.148522
Al Mazra'a,32.983836,35.098352
Al Mazra'a Al Sharqiyya,32.002837,35.273027
Al Mirr,32.111954,34.915585
Al Mudawwar,32.144903,35.011691
Al Muftakhira,33.157906,35.638731
"Al Mughayyir, Nablus",32.01914,35.348074
"Al Mughayyir, Jenin",32.421456,35.384355
Al Muharraqa,31.466362,34.611249
Al Mujaydal,32.678116,35.243671
Al Mukhayzin,31.802348,34.810491
Al Munkheila (Wuhaidat),31.400049,34.504908
Al Murassas,32.55959,35.475834
Al Mutilla,32.419856,35.407122
Al Muwaylih,32.120706,34.924031
Al Na'ani,31.871329,34.871992
Al Na'ima,33.187835,35.595729
"Al Nabi Rubin, Ramle",31.945439,34.742337
"Al Nabi Rubin, Acre",33.080272,35.290808
Al Nabi Salih,32.017249,35.124756
Al Nabi Sumwil,31.832637,35.180543
Al Nabi Yusha',33.113164,35.556553
Al Naghnaghiyya,32.601,35.1567
Al Nahr,33.005986,35.140168
Al Naqura,32.26561,35.201164
Al Nuqayb,32.7991,35.6402
Al Qabu,31.728358,35.12065
Al Qarara,31.374304,34.334986
Al Qastal,31.795679,35.144211
Al Qubab,31.866568,34.953006
"Al Qubayba, Jerusalem",31.83999,35.136539
"Al Qubayba, Ramle",31.895019,34.772664
"Al Qubayba, Hebron",31.571213,34.853821
Al Qudayriyya,32.904754,35.508986
Al Ram,31.85504,35.233285
"Al Rama, Acre",32.938355,35.367729
"Al Rama, Jenin",32.353906,35.170654
Al Ras,32.251652,35.06199
Al Ras Al Ahmar,33.039028,35.469674
Al Reina,32.723097,35.313096
"Al Rihaniyya, Safad",33.048797,35.486634
"Al Rihaniyya, Haifa",32.61986,35.085972
Al Ruways,32.864435,35.177826
Al Safiriyya,31.99335,34.849656
Al Sakhina,32.512864,35.461952
Al Salihiyya,33.167429,35.611584
Al Samakiyya,32.883079,35.57748
Al Samiriyya,32.436938,35.486664
Al Sammu'i,32.957907,35.453096
Al Samra,32.723054,35.617296
Al Sanbariyya,33.23491,35.617436
Al Sarafand,32.647416,34.936005
Al Sawafir Al Gharbiyya,31.699975,34.703889
Al Sawafir Al Shamaliyya,31.714025,34.704208
Al Sawafir Al Sharqiyya,31.700138,34.712581
Al Sawahira,31.764173,35.239049
Al Sawalima,32.116538,34.847719
Al Sawamir,32.628909,34.960092
Al Sawiya,32.084861,35.257697
Al Shajara,32.753737,35.399792
Al Shawka Al Tahta,33.238562,35.635931
Al Shaykh Muwannis,32.108147,34.804773
Al Sheikh Bureik,32.701834,35.128618
Al Shuna,32.908222,35.487129
Al Shuyukh,31.578309,35.150008
Al Sindiyana,32.557538,35.001192
Al Soufi,31.263727,34.710907
Al Sumayriyya,32.97237,35.093259
Al Tabigha,32.869831,35.543296
Al Tall,33.0074,35.1372
Al Tantura,32.6094,34.9174
"Al Tayyiba, Beisan",32.604402,35.445371
"Al Tayyiba, Tulkarm",32.266277,35.010848
Al Tina,31.746292,34.81932
"Al Tira, Tulkarm",32.232625,34.948682
"Al Tira, Ramallah",31.869541,35.124143
"Al Tira, Ramle",32.017025,34.942484
"Al Tira, Beisan",32.648424,35.45817
"Al Tira, Haifa",32.762317,34.974355
Al Tur,31.778955,35.245499
Al Urayfiyya,33.108179,35.650258
Al Walaja,31.741038,35.146457
Al Wayziyya,33.001528,35.577824
Al Yahudiya (Al Abisiyya),32.031372,34.889784
Al Zanghariyya,32.94149,35.586348
Al Zawiya,33.153267,35.598025
Al Zeeb,33.04785,35.101429
Al Zraiye,31.371423,34.420485
Al Zuq Al Fawqani,33.243206,35.590787
Al Zuq at-Tahtani,33.215131,35.60093
Allar,31.723069,35.061583
Allonim,32.720363,35.14293
Alma,33.055462,35.492191
Amir,33.178653,35.621793
Ammuqa,33.005768,35.519844
Ammuriyya,32.062835,35.209583
Amqa,32.978292,35.167959
An Nabi Elyas,32.184348,35.01835
An Nassariya,32.243434,35.381415
Anabta,32.306974,35.116141
Anata,31.813593,35.261927
Anin,32.500625,35.166003
Anza,32.358666,35.21959
Aqir,31.85921,34.820771
Aqqaba,32.350085,35.349242
Aqqur,31.758603,35.082246
Aqraba,32.127009,35.344404
Ar'ara,32.492869,35.09739
Arab Al Arida,32.441554,35.514376
Arab Al Bawati,32.528257,35.540392
Arab Al Fuqara',32.451172,34.908908
Arab Al Nufay'at,32.423021,34.881561
Arab Al Safa,32.440861,35.537667
Arab Al Samniyya,33.047056,35.179054
Arab Al Shamalina,32.903711,35.602211
Arab Al Subeih,32.699665,35.405585
Arab Al Ta'amira,31.645179,35.328016
Arab Al Zubayd,33.079548,35.572735
Arab Ghawarina,32.853781,35.085118
Arab Ibn 'Ubeid (Al 'Ubeidiya),31.719609,35.296205
Arab Suqrir (Abu Suweirih),31.824521,34.657625
Arab Zarra'a,32.417166,35.531572
Arabbuna,32.512146,35.364947
Araqa,32.471323,35.200536
"Arraba, Acre",32.850728,35.338329
"Arraba, Jenin",32.40503,35.201478
Arrana,32.496844,35.323156
Artas,31.688705,35.185524
Artuf,31.767941,35.002295
Arura,32.041981,35.170585
Ash Sheikh Sa'd,31.737019,35.257073
Ashdot Ya'aqov (Ihud),32.65817,35.5803
Asira Al Qiblya,32.179089,35.212905
Asira Al Shamaliyya,32.249373,35.265346
Askar,32.217037,35.288768
At Tarem,32.464725,35.191616
Atara,32.004366,35.208816
Atarot,31.865208,35.216002
Ath Thaghra,32.329623,35.389547
"Atlit, Haifa",32.693164,34.940012
"Atlit, Haifa",32.705414,34.93444
Attil,32.369085,35.071545
Avihayil,32.35079,34.87108
Awarta,32.160683,35.286475
Awlam,32.666462,35.499163
Ayanot,31.91564,34.76789
Ayn Al Mansi,32.59371,35.177929
Ayn Al Zaytun,32.987017,35.492152
Ayn Arik,31.906768,35.14246
Ayn Ghazal,32.632538,34.968212
Ayn Karim,31.767085,35.162011
Ayn Mahil,32.723767,35.354721
Ayn Qinya,31.926765,35.148088
Ayn Sinya,31.97265,35.229491
Ayn Yabrud,31.955323,35.244379
Aynabus,32.147236,35.245246
Ayyelet HaShahar,33.021137,35.577366
Az Za'ayyem,31.790332,35.266788
Azmut,32.223292,35.30969
Azzun,32.176326,35.056378
Bal'a,32.332253,35.108402
Balad Al Shaykh,32.772346,35.043038
Balata,32.211502,35.282168
Balfurya,32.6302,35.29641
Bani Na'im,31.516087,35.164447
Bani Suheila,31.34361,34.324047
Baqa Al Gharbiyya,32.414961,35.047418
Baqa Al Sharqiyya,32.409771,35.070124
Baqat Al Hatab,32.205338,35.115245
Barbara,31.624188,34.579155
Bardala,32.386524,35.480365
Barfiliya,31.910417,34.987506
Barqa,31.776047,34.700783
Barqusya,31.67963,34.823305
Barrat Qisarya,32.509562,34.910635
Barriyya,31.888219,34.917496
Barta'a,32.47587,35.092824
Bashatwi,32.591695,35.557965
Bashshit,31.823661,34.748555
Mu'awiya (Basma),32.53123,35.100983
Bassat Al Falek (Birkat Ramadan),32.2473,34.8568
Bat Shelomo,32.596068,35.004234
Bat Yam,32.026429,34.743375
Battir,31.728677,35.140346
Baysamun,33.097581,35.579413
Bayt 'Itab,31.734183,35.052632
Bayt Affa,31.66141,34.706581
Bayt Al Jimal,31.724936,34.976342
Bayt Aula,31.5964,35.029784
"Bayt Dajan, Nablus",32.19312,35.371047
"Bayt Dajan, Jaffa",32.003157,34.828872
Bayt Daras,31.722924,34.683176
Bayt Duqqu,31.858998,35.12921
Bayt Fajjar,31.623802,35.154096
Bayt Furiq,32.177138,35.336065
Bayt Hanina,31.828954,35.207668
Bayt Hannun,31.541522,34.534872
Bayt Iba,32.234921,35.208447
Bayt Ijza,31.847472,35.151469
Bayt Iksa,31.817492,35.180791
Bayt Inan,31.85236,35.11088
Bayt Jala,31.716194,35.187648
Bayt Jann,32.964909,35.381185
Bayt Jibrin,31.606553,34.896451
Bayt Jirja,31.602825,34.580814
Bayt Jiz,31.813151,34.95311
Bayt Kahil,31.569782,35.066634
Bayt Lahiya,31.548919,34.499736
Bayt Lid,32.261306,35.130906
Bayt Liqya,31.869421,35.068489
Bayt Mahsir,31.794686,35.034346
Bayt Nabala,31.986024,34.956388
Bayt Naqquba,31.8033,35.125267
Bayt Nattif,31.69665,34.994834
Bayt Nuba,31.852916,35.032651
Bayt Qad,32.468999,35.355637
Bayt Rima,32.033666,35.103221
Bayt Safafa,31.745419,35.200816
Bayt Sahur,31.702917,35.21767
Bayt Shanna,31.877426,34.987133
Bayt Sira,31.887893,35.044391
Bayt Suriq,31.823912,35.149484
Bayt Susin,31.8063,34.983395
Bayt Thul,31.822213,35.07359
Bayt Tima,31.623439,34.639078
Bayt Umm Al Mays,31.78007,35.080861
Bayt Ummar,31.620491,35.102368
Bayt Umrin,32.292272,35.215668
Bayt Ur Al Fuqa,31.885671,35.113412
Bayt Ur Al Tahta,31.894852,35.085613
Bayt Wazzan,32.231413,35.215838
Bayyarat Hannun,32.293372,34.863311
Bazzariya,32.306791,35.165421
Bdinat (Baikat Al 'Irr),31.433446,34.63921
Be'er Toviyya,31.737078,34.72144
Be'er Ya'aqov,31.936126,34.83531
Beersheba,31.239334,34.789048
Beisan,32.498084,35.50266
Beit 'Awwa,31.509265,34.948344
Beit Amin,32.131664,35.020837
Beit Hasan,32.237201,35.404427
Bethlehem (Galilee),32.736576,35.191496
Beit Maqdum,31.537124,34.971222
Beit Mazmil,31.764854,35.176428
Beit Nuba,31.853159,35.03287
Beit Ta'mir,31.678005,35.234336
Beita,32.143618,35.286522
Beitillu,31.977885,35.115395
Beitin,31.926284,35.239199
Beitunya,31.886533,35.169225
Ben Shemen (K.No'ar),31.958538,34.933937
Bene Beraq,32.087161,34.828989
Bet Alfa,32.51713,35.43145
Bet Hanan,31.935488,34.777102
Bet HaShitta,32.550113,35.439344
Bet Hillel,33.212388,35.607681
Bet Oren,32.73116,35.00601
Bet Oved,31.921676,34.772309
Bet She'arim,32.69669,35.17821
Bet Yannay,32.38143,34.86353
Bet Yehoshua,32.26033,34.86558
Bet Yosef,32.55924,35.55113
Bet Zera (Kefar Gun),32.68893,35.57339
Bethlehem,31.704712,35.204345
"Bi'lin, Gaza",31.688424,34.81804
Bi'na,32.931793,35.271464
Biddu,31.833739,35.147816
Biddya,32.113578,35.076393
"Bil'in, Ramle",31.925976,35.071175
Bin Sabbah,31.529233,34.774022
Binyamina-Giv'at Ada,32.521179,34.949985
Bir El-Maksur,32.775696,35.217969
Bir Ma'in,31.887885,35.019843
Bir Nabala,31.847236,35.196141
Bir Salim,31.926006,34.827597
Bir Zeit,31.970079,35.200301
Biriyya,32.980001,35.498306
Birkat Ramadan,32.247258,34.856759
Bitan Aharon,32.36531,34.87018
Biyar Adas,32.158078,34.921552
Bizzaron,31.793194,34.727203
Bu'eina,32.805988,35.364226
Buqei'a,32.976642,35.335748
Burayka,32.558524,34.975606
Burayr,31.570729,34.640659
Burdus,31.966209,34.993828
Burham,31.988821,35.174054
Burin,32.184482,35.249909
"Burqa, Nablus",32.301011,35.193717
"Burqa, Ramallah",31.894757,35.253787
"Burqin, Jenin",32.456439,35.261116
"Burqin, Nablus",32.070034,35.099236
Dabburiyya,32.692206,35.37218
Dafna,33.230672,35.639476
Daliyat Al Karmil,32.696013,35.043039
Daliyat Al Rawhaa,32.602745,35.077539
Dallata,33.022746,35.499475
Dan,33.238243,35.65477
Daniyal,31.931362,34.930811
Danna,32.613342,35.474975
Dayr 'Ammar,31.967544,35.102692
Dayr Aban,31.743065,35.010732
Dayr Abu Da'if,32.455721,35.364406
Dayr Abu Mash'al,31.999101,35.06338
Dayr Abu Salama,31.94931,34.956891
Dayr Al Asad,32.93526,35.270569
Dayr Al Balah,31.418941,34.3516
Dayr Al Dubban,31.672586,34.892574
Dayr Al Gusun,32.353507,35.077369
Dayr Al Hatab,32.217194,35.321345
Dayr Al Hawa,31.751265,35.037232
Dayr Al Qasi,33.034969,35.324095
Dayr Al Shaykh,31.748964,35.067
Dayr Al Surdan,32.034178,35.148261
Dayr Amr,31.777638,35.097196
Dayr Ayyub,31.827333,35.01907
Dayr Ballut,32.064159,35.025387
Dayr Dibwan,31.910633,35.271444
Dayr Ghassana,32.046458,35.097546
Dayr Ghazala,32.496063,35.351483
Dayr Hanna,32.862909,35.364207
Dayr Ibzi',31.91624,35.115396
Dayr Istiyya,32.130768,35.140221
Dayr Jarir,31.963739,35.298741
Dayr Muhaysin,31.828385,34.933223
Dayr Nakhkhas,31.61574,34.922425
Dayr Nidham,32.003256,35.114206
Dayr Qadis,31.949774,35.045937
Dayr Sharaf,32.253946,35.189074
Dayr Sunayd,31.574789,34.555462
Dayr Tarif,31.993,34.939117
Dayr Yasin,31.786247,35.178431
Dayshum,33.078342,35.508971
Deganya Alef,32.708283,35.576199
Deganya Bet,32.701309,35.577016
Deir Rafat,31.776527,34.947166
Deir Samit,31.522511,34.974037
Demeide,32.815353,35.227721
Dhaher al 'Abed,32.451525,35.096457
Dhaher al Malih,32.474181,35.162604
Dhinnaba,32.313955,35.041315
Dimra,31.558344,34.567389
Dorot,31.50654,34.64548
Duma,32.056191,35.367389
Dura,31.506773,35.027717
Dura Al Qari',31.955257,35.227726
Duyuk,31.88111,35.437324
Eilabun,32.841986,35.400062
Ein Al Asad,32.941455,35.39687
Ein el Beida,32.380403,35.506602
Ein Rafa,31.791707,35.115118
Elon,33.063071,35.218893
Elyashiv,32.38056,34.90955
En Gev,32.783851,35.637615
En HaMifraz,32.903484,35.095059
En Harod (Me'uhad),32.55841,35.39152
En HaShofet,32.596436,35.101851
En Iron,32.482663,35.009924
En Shemer,32.463548,35.004343
En Wered,32.26455,34.932
Es Sawarika (Bin Rifee),31.562741,34.685361
Even Yehuda,32.269269,34.887543
Evron (Ga'aton),32.992345,35.098138
Fahma,32.383062,35.179702
Fajja,32.086476,34.9031
Falama,32.223503,35.022104
Fandaqumiya,32.320167,35.203592
Faqqu'a,32.490724,35.401112
Far'un,32.286095,35.02255
Fara,33.065763,35.457909
Fardisya,32.277298,35.013796
Farkha,32.069804,35.147426
Fart'a,32.190505,35.165611
Farwana,32.462777,35.493665
Fasayil,32.028789,35.443289
Fassuta,33.04918,35.308523
Fir'im,32.985191,35.533169
Firasin,32.426292,35.106972
Furreidis,32.596359,34.951237
Gan HaShomeron,32.464603,35.000402
Gan Hayyim,32.19506,34.9058
Gan Shelomo,31.87704,34.79877
Gan Shemu'el,32.452159,34.94955
Gan Yavne,31.789731,34.713194
Ganne Am,32.153072,34.90165
Gat,31.62778,34.79474
Gat Rimmon,32.068652,34.882528
Gaza,31.501873,34.466
Ge'ulim,32.294721,34.938697
Gedera,31.815192,34.775863
Geva,32.56628,35.37205
Gevat,32.675774,35.212276
Ghabat Ababisha,32.19087,34.846566
Ghabat Al Tayiba Al Qibliya,32.219569,34.849567
Ghabat Al Tayiba Al Shamaliyya,32.235313,34.859956
Ghabat Jaiyus,32.226866,34.853756
Ghabat Kafr Sur,32.285587,34.862057
Ghabat Miska,32.207676,34.847789
Ghabbatiyya,33.014414,35.376281
Ghor Al Fari'a,32.115442,35.516755
Ghuraba,33.121198,35.645831
Ghuwayr Abu Shusha,32.8534,35.507712
Gibbeton,31.88887,34.80004
Ginnegar,32.66386,35.25774
Ginnosar,32.848212,35.525257
Giv'at Brenner,31.86633,34.80141
Giv'at Hen,32.16811,34.87483
Giv'atayim,32.07143,34.80993
Habla,32.164303,34.978262
Hadatha,32.683713,35.488342
Hadera,32.43568,34.91851
Haifa,32.815367,35.00154
Hajja,32.204784,35.131153
Halhul,31.577969,35.109686
Hamam,32.829908,35.489918
Hamama,31.692954,34.59175
Hanita,33.087808,35.172667
Har Tuv,31.763422,34.999511
Haris,32.114781,35.14233
Harrawi,33.091301,35.561152
Hatta,31.651776,34.740901
Havazzelet HaSharon,32.35505,34.860416
Hawsha,32.793035,35.144202
Hebron,31.524422,35.109268
Hefzi-Bah,32.518001,35.427078
Herut,32.240194,34.916597
Herzliyya,32.16732,34.840576
Hibbat Ziyyon,32.397897,34.916625
Hilat As Sammak,32.098226,34.78389
Hindaza,31.692658,35.205873
Hiribya,31.60613,34.546616
Hitta,31.621305,35.020529
Hittin,32.807383,35.453827
Hizma,31.836772,35.267298
Hogla,32.38807,34.927554
Holon,32.02045,34.775378
Huj,31.510613,34.622577
Hulata,33.056522,35.615008
Hulayqat,31.600424,34.649518
Hulda,31.83139,34.88258
Hunin,33.218837,35.545197
Hurfeich,33.017097,35.34697
Husan,31.7115,35.134045
Hussniyya,32.905669,35.313237
Huwwara,32.152677,35.256047
Ibdis,31.677152,34.698513
Ibillin,32.822238,35.192518
Ibtin,32.763937,35.108048
Ibwein,32.036425,35.2022
Idna,31.558547,34.976313
Idnibba,31.742266,34.855594
Ijlil Al Qibliyya,32.158905,34.811547
Ijlil Al Shamaliyya,32.160502,34.813211
Ijnisinya,32.273347,35.216152
Ijzim,32.645218,34.989649
Iksal,32.683007,35.324772
Iktaba,32.325595,35.053088
Ilaniyya (Sejera),32.75433,35.4074
Illar,32.370002,35.10729
Ilut,32.717373,35.259674
Immatin,32.192987,35.158293
Imwas,31.840461,34.992535
Indur,32.637992,35.382195
Innaba,31.902147,34.947836
Iqrit,33.075565,35.275571
Iraq Al Manshiyya,31.607375,34.784204
Iraq Burin,32.202001,35.237834
Iraq Suwaydan,31.647641,34.694123
Irtah,32.296976,35.017018
Isdud,31.755311,34.660207
Isfiya,32.718901,35.066325
Ishwa',31.780637,35.011582
Iskaka,32.104253,35.223527
Isla,32.171677,35.033084
Islin,31.784092,35.006733
Izbat al Ashqar,32.140157,35.020686
"Jaba', Jenin",32.654702,34.963806
"Jaba', Jerusalem",31.856965,35.262101
"Jaba', Haifa",32.654305,34.96327
Jabaliya,31.526429,34.483669
Jabbul,32.567162,35.510679
Jaffa,32.054022,34.753055
Jahula,33.124793,35.568373
Jala,31.618065,35.07683
Jalama,32.508841,35.313571
Jalbun,32.459713,35.414929
Jaljuliya,32.154893,34.950065
Jalqamus,32.424704,35.364629
Jalud,32.06992,35.315423
Jamma'in,32.130427,35.19998
Jammala,31.972229,35.093153
Jannatah,31.670418,35.218932
Jarash,31.729952,35.016348
Jarba,32.386513,35.25651
Jarisha,32.095865,34.808425
"Jatt, Acre",32.973606,35.235312
"Jatt, Tulkarm",32.398449,35.040099
Jayous,32.200866,35.035244
Jenin,32.460698,35.301623
Jericho,31.855882,35.46076
Jerusalem,31.777812,35.232198
Jibya,31.998916,35.159304
Jifna,31.962715,35.215928
Jiljilya,32.031378,35.222927
Jilya,31.770133,34.863722
Jimzu,31.929847,34.946304
Jindas,31.967826,34.906449
Jinsafut,32.179228,35.13054
Jish,33.025909,35.445279
Jisr aql-Majami,32.624253,35.563466
Jit,32.214542,35.170436
Jubarat,31.546971,34.763627
Jubb Yusuf,32.919482,35.536314
Judeida,32.335302,35.302357
Judeira,31.8588,35.197699
"Julis, Acre",32.943627,35.18703
"Julis, Gaza",31.681926,34.654111
Juneid,32.224884,35.219349
Jurat ash Sham'a,31.650235,35.169369
Jurish,32.102015,35.323054
Jusayr,31.658749,34.772248
Kabara,32.547401,34.922366
Kabul,32.866501,35.213723
Kadoorie,32.702806,35.40784
Kafa,32.292609,35.049735
Kafr 'Abbush,32.223977,35.085541
Kafr 'Aqab,31.880124,35.22592
Kafr 'Inan,32.923074,35.419276
Kafr Al Deik,32.066373,35.08218
Kafr Al Labbad,32.297651,35.109967
Kafr Ana,32.024481,34.86831
Kafr Bir'im,33.043672,35.414243
Kafr Dan,32.47805,35.253264
Kafr Ein,32.048205,35.119505
Kafr Jammal,32.225559,35.044905
Kafr Kama,32.721245,35.44197
Kafr Kanna,32.746666,35.339225
Kafr Lam,32.637142,34.934072
Kafr Laqif,32.183981,35.091364
Kafr Malik,31.990106,35.309171
Kafr Manda,32.809946,35.260885
Kafr Misr,32.645723,35.423074
Kafr Ni'ma,31.930192,35.096927
Kafr Qad,32.45738,35.226395
Kafr Qalil,32.191418,35.275844
Kafr Qari',32.505445,35.054056
Kafr Qasim,32.114193,34.978117
Kafr Ra'i,32.375187,35.154419
Kafr Rumman,32.31649,35.12586
Kafr Saba,32.181235,34.938542
Kafr Sabt,32.744043,35.440951
Kafr Sumei,32.979364,35.306397
Kafr Sur,32.24429,35.06477
Kafr Thulth,32.152943,35.045759
Kafr Yasif,32.955262,35.165227
Kafr Zibad,32.225698,35.071279
Kafra,32.592969,35.49179
Kamane,32.912942,35.352738
Karatiyya,31.642548,34.726255
Kardala ,32.379359,35.48982
Kasla,31.780956,35.051425
Kaubar,31.990501,35.159006
Kavr Qaddum,32.22169,35.141951
Kawfakha,31.477861,34.661217
Kawkab Abu Al Heija,32.830669,35.249906
Kawkab Al Hawa,32.595634,35.521493
Kawkaba,31.630703,34.661706
Kefar Barukh,32.64628,35.19091
Kefar Bialik,32.824577,35.083001
Kefar Bilu,31.877785,34.820269
Kefar Gid'on,32.64409,35.2913
Kefar Gil'adi,33.24246,35.57473
Kefar HaHoresh,32.704048,35.275677
Kefar HaMakkabbi,32.791774,35.11599
Kefar Hasidim Alef,32.751491,35.092595
Kefar Hess,32.248317,34.935238
Kefar Hittim,32.798308,35.501023
Kefar Malal,32.16807,34.89412
Kefar Masaryk,32.890124,35.099007
Kefar Menahem,31.732668,34.836327
Kefar Netter,32.273718,34.873214
Kefar Pines,32.482212,34.999891
Kefar Ruppin (Massad),32.458061,35.557088
Kefar Sava,32.17477,34.911326
Kefar Shemaryahu,32.183748,34.819056
Kefar Sirkin,32.077107,34.923268
Kefar Tavor,32.68677,35.421691
Kefar Uriyya,31.792357,34.947861
Kefar Vitkin,32.38156,34.87798
Kefar Warburg,31.717748,34.732789
Kefar Ya'bez,32.268809,34.964701
Kefar Yedidya,32.34645,34.900353
Kefar Yehezqel,32.568196,35.362483
Kefar Yehoshua,32.680993,35.151786
Kefar Yona,32.318821,34.929246
Khallet al Haddad,31.657272,35.19003
Khallet al Louza,31.674074,35.199592
Khallet Sakariya,31.663117,35.123664
Khan Al 'Ahmar,31.801832,35.338803
Khan Al Duwayr,33.239691,35.672452
Khan Yunis,31.34323,34.302686
Kharas,31.614541,35.04231
